epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,4136.06,0.23157,0.56872,1.16167,0.72416,0.58806,0.68572,0.41987,0.49014,0.77864,1.31618,0.008776,0.008776,0.008776
155,4162.77,0.22435,0.5479,1.14398,0.72337,0.57527,0.68062,0.40103,0.49361,0.8514,1.34644,0.008768,0.008768,0.008768
156,4188.06,0.24332,0.62575,1.14996,0.71428,0.67622,0.73384,0.44062,0.48121,0.75531,1.33467,0.00876,0.00876,0.00876
157,4214.71,0.24298,0.58548,1.16061,0.71248,0.6307,0.71414,0.42113,0.48858,0.74671,1.34056,0.008752,0.008752,0.008752
158,4241.49,0.23186,0.55462,1.16669,0.65457,0.68833,0.71737,0.42333,0.48309,0.752,1.3239,0.008744,0.008744,0.008744
159,4268.15,0.21496,0.53382,1.1422,0.67694,0.62464,0.67682,0.40537,0.49461,0.76579,1.34924,0.008736,0.008736,0.008736
160,4294.93,0.23148,0.56955,1.15798,0.66735,0.61838,0.68346,0.40527,0.49462,0.86118,1.34372,0.008728,0.008728,0.008728
161,4320.28,0.22995,0.60401,1.1541,0.70981,0.62736,0.70157,0.4177,0.48925,0.74139,1.33482,0.00872,0.00872,0.00872
162,4345.07,0.22128,0.52998,1.13926,0.65413,0.63423,0.68129,0.40177,0.49206,0.84742,1.34631,0.008712,0.008712,0.008712
163,4369.89,0.22552,0.54443,1.1427,0.67339,0.67782,0.70574,0.4085,0.48814,0.78293,1.33521,0.008704,0.008704,0.008704
164,4395.03,0.21424,0.5422,1.14812,0.73489,0.59634,0.69843,0.41905,0.48302,0.82716,1.33984,0.008696,0.008696,0.008696
165,4421.85,0.22347,0.55226,1.14105,0.69788,0.63259,0.6852,0.41134,0.48328,0.98316,1.32992,0.008688,0.008688,0.008688
166,4447.81,0.23285,0.57255,1.15839,0.67356,0.63989,0.69876,0.41983,0.49552,0.82053,1.33823,0.00868,0.00868,0.00868
167,4474.6,0.21213,0.56286,1.14347,0.71766,0.61207,0.68668,0.4175,0.48472,0.86783,1.33451,0.008672,0.008672,0.008672
168,4501.26,0.22713,0.55813,1.14266,0.67236,0.64709,0.70388,0.43168,0.48387,0.79658,1.32508,0.008664,0.008664,0.008664
169,4526.87,0.24024,0.53198,1.1388,0.68624,0.61788,0.69462,0.41226,0.48911,0.80196,1.32014,0.008656,0.008656,0.008656
170,4553.58,0.22759,0.52486,1.15058,0.70258,0.57838,0.67948,0.4069,0.486,0.85252,1.33047,0.008648,0.008648,0.008648
